Test,Executor,Timing (s)
atax,rWasm,0.033859
atax,rWasm,0.033706
atax,rWasm,0.033774
atax,rWasm,0.034404
atax,rWasm,0.033898
atax,rWasm,0.034588
atax,rWasm,0.034213
atax,rWasm,0.033781
atax,rWasm,0.036655
atax,rWasm,0.034395
atax,rWasm,0.033755
atax,rWasm,0.034437
atax,rWasm,0.033705
atax,rWasm,0.034046
atax,rWasm,0.046836
atax,rWasm,0.034219
atax,rWasm,0.034263
atax,rWasm,0.047257
atax,rWasm,0.034299
atax,rWasm,0.033858
atax,rWasm,0.034719
atax,rWasm,0.034451
atax,rWasm,0.03381
atax,rWasm,0.033957
atax,rWasm,0.034177
atax,rWasm,0.034362
atax,rWasm,0.033892
atax,rWasm,0.034274
atax,rWasm,0.033916
atax,rWasm,0.034282
atax,rWasm,0.037893
atax,rWasm,0.034528
atax,rWasm,0.034262
atax,rWasm,0.037976
atax,rWasm,0.033945
atax,rWasm,0.033953
atax,rWasm,0.033736
atax,rWasm,0.033676
atax,rWasm,0.03385
atax,rWasm,0.033676
atax,rWasm,0.034212
atax,rWasm,0.033868
atax,rWasm,0.033761
atax,rWasm,0.034416
atax,rWasm,0.033742
atax,rWasm,0.033724
atax,rWasm,0.033776
atax,rWasm,0.033748
atax,rWasm,0.034339
atax,rWasm,0.034486
atax,rWasm,0.034067
atax,rWasm,0.035057
atax,rWasm,0.033638
atax,rWasm,0.033714
atax,rWasm,0.034171
atax,rWasm,0.034195
atax,rWasm,0.034024
atax,wasmtime,0.029934
atax,wasmtime,0.029524
atax,wasmtime,0.029669
atax,wasmtime,0.030539
atax,wasmtime,0.030168
atax,wasmtime,0.030064
atax,wasmtime,0.030146
atax,wasmtime,0.034087
atax,wasmtime,0.029643
atax,wasmtime,0.029649
atax,wasmtime,0.029678
atax,wasmtime,0.029674
atax,wasmtime,0.047862
atax,wasmtime,0.029976
atax,wasmtime,0.029545
atax,wasmtime,0.029601
atax,wasmtime,0.030032
atax,wasmtime,0.030315
atax,wasmtime,0.029591
atax,wasmtime,0.029682
atax,wasmtime,0.029912
atax,wasmtime,0.030001
atax,wasmtime,0.029771
atax,wasmtime,0.029962
atax,wasmtime,0.02998
atax,wasmtime,0.030008
atax,wasmtime,0.030006
atax,wasmtime,0.030031
atax,wasmtime,0.0301
atax,wasmtime,0.030089
atax,wasmtime,0.029533
atax,wasmtime,0.029638
atax,wasmtime,0.02957
atax,wasmtime,0.029575
atax,wasmtime,0.029607
atax,wasmtime,0.030011
atax,wasmtime,0.030278
atax,wasmtime,0.048248
atax,wasmtime,0.030028
atax,wasmtime,0.030079
atax,wasmtime,0.030061
atax,wasmtime,0.030118
atax,wasmtime,0.029996
atax,wasmtime,0.030113
atax,wasmtime,0.030069
atax,wasmtime,0.04842
atax,wasmtime,0.029489
atax,wasmtime,0.029917
atax,wasmtime,0.048611
atax,wasmtime,0.029998
atax,wasmtime,0.030158
atax,wasmtime,0.030237
atax,wasmtime,0.029558
atax,wasmtime,0.03019
atax,wasmtime,0.030028
atax,wasmtime,0.029533
atax,wasmtime,0.029947
atax,wasmtime,0.029548
atax,wasmtime,0.029921
atax,wasmtime,0.029997
atax,wasmtime,0.029986
atax,wasmtime,0.029564
atax,wasmtime,0.030041
atax,wasmtime,0.029615
atax,wasmtime,0.029594
atax,wasmtime,0.030014
atax,wasmtime,0.029971
atax,wasmtime,0.029975
atax,wasmtime,0.03013
atax,wasmtime,0.030081
atax,wasmtime,0.03012
atax,wasmtime,0.02961
atax,wasmtime,0.029593
atax,wasmtime,0.029644
atax,wasmtime,0.029648
atax,wasmtime,0.030279
atax,wasmtime,0.029974
atax,wasmtime,0.030458
atax,wasmtime,0.031367
atax,wasmtime,0.029628
atax,wasmtime,0.029978
atax,wasmtime,0.030112
atax,wasmtime,0.030195
atax,wasmtime,0.030222
atax,wasmer-js,0.023
atax,wasmer-js,0.022
atax,wasmer-js,0.028
atax,wasmer-js,0.024
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.024
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.024
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.024
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.024
atax,wasmer-js,0.024
atax,wasmer-js,0.024
atax,wasmer-js,0.024
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.024
atax,wasmer-js,0.023
atax,wasmer-js,0.024
atax,wasmer-js,0.023
atax,wasmer-js,0.024
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.024
atax,wasmer-js,0.023
atax,wasmer-js,0.024
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.024
atax,wasmer-js,0.023
atax,wasmer-js,0.024
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.024
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.024
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.023
atax,wasmer-js,0.024
atax,wasmer-js,0.023
atax,wasmer-js,0.024
atax,wasmer-js,0.023
